,Abbr,Fullform
5744,SATS,Standard Attainment Tests
5745,SAUCE,source
5746,SAUCED,Drunk
5747,SAVAGE,Brutal but awesome
5748,SAVVY,Do you understand
5749,SAWP,SUP
5750,SAYONARA,Goodbye
5751,SB,Somebody
5752,SBD,Silent But Deadly
5753,SBF,Single Black Female
5754,SBI,Surrounded By Incompetence
5755,SBJ,Sweet Baby Jesus
5756,SBM,Single Black Male
5757,SBS,Step By Step
5758,SBSP,SpongeBob SquarePants
5759,SBT,Sorry 'Bout That
5760,SBUX,Starbucks
5761,SC,StarCraft 
5762,SCA,Scandal
5763,SCALLY,Low life
5764,SCAM,Rip off
5765,SCART,Audio
5766,SCH,School
5767,SCHEMIE,Someone from a council estate
5768,SCHWAG,Low grade marijuana
5769,SCNR,Sorry Could Not Resist
5770,SCO,San Fransisco
5771,SCOFF,Food
5772,SCOTUS,Supreme Court Of The United States
5773,SCOUSE,Relating to Liverpool
5774,SCOUSER,Person from Liverpool
5775,SCRAM,Go away
5776,SCRAN,Food
5777,SCRAP,Fight
5778,SCREB,Dirty
5779,SCRILLA,Money
5780,SCRIM,Practice game
5781,SCRUB,Loser who thinks he's something
5782,SCSI,Small Computer System Interface
5783,SCUBA,Self-Contained Underwater Breathing Apparatus
5784,SD,Sweet Dreams
5785,SDA,Seventh-Day Adventist
5786,SDK,Software Development Kit
5787,SDMF,Strength Determination Merciless Forever
5788,SDRAM,Synchronous Dynamic Random Access Memory
5789,SDSL,Symmetric DSL
5790,SE,Special Edition
5791,SEC,Second
5792,SED,Said
5793,SEEDS,Marijuana seeds
5794,SEEN,I see understood
5795,SEHR,Very
5796,SEKC,Sexy
5797,SEKKLE,Calm down
5798,SELCA,Self Cam picture
5799,SELFIE,Picture of yourself usually taken by yourself
5800,SEM,Search Engine Marketing
5801,SENIOR MOMENT,Lapse of memory
5802,SEO,Search Engine Optimization
5803,SEP,Somebody Else's Problem
5804,SERP,Search Engine Results Page
5805,SES,Marijuana
5806,SESH,Session
5807,SET,Division of a gang
5808,SETE,Smiling Ear To Ear
5809,SETI,Search For Extraterrestrial Intelligence
5810,SEVIE,Seventh Grader
5811,SEXPOT,Sexy Person
5812,SEXT,Send suggestive text messages
5813,SF,Science Fiction
5814,SFAM,Sister From Another Mister
5815,SFLR,Sorry For Late Reply
5816,SFO,San Francisco International Airport
5817,SFP,Sorry for Partying
5818,SFR,Smiling For Real
5819,SFSG,So Far So Good
5820,SFTBC,Sorry For The Broadcast
5821,SFW,Safe For Work
5822,SFX,Sound Effects
5823,SG2M,Sounds Good To Me
5824,SGO,Let's Go
5825,SGT,Sergeant
5826,SGTM,Sounds Good To Me
5827,SH,Same Here
5828,SHADDAP,Shut up
5829,SHADE,Casual
5830,SHADES,Sunglasses
5831,SHADY,Shifty
5832,SHAFT,Screw
5833,SHANK,Homemade knife
5834,SHAWN,Attractive man
5835,SHAWTY,Young girl
5836,SHB,Super Hot Babe
5837,SHEERIO,An Ed Sheeran Fan
5838,SHEILA,Woman
5839,SHELL-LIKE,Ear
5840,SHERLOCKIAN,A Fan Of Sherlock Holmes
5841,SHERM,Cigarette dipped in PCP
5842,SHH,Be quiet shut up
5843,SHILL,Decoy
5844,SHINNY,Informal game of hockey
5845,SHIOK,happiness
5846,SHIP,Romantic relationship
5847,SHIRT LIFTER,Homosexual Male
5848,SHIV,Home made knife
5849,SHIZZLE,Sure
5850,SHK,Should Have Known
5851,SHM,Simple Harmonic Motion
5852,SHMILY,See How Much I Love You
5853,SHO,Sure
5854,SHOOK,Scared
5855,SHOOP,Photoshop
5856,SHOOTER,Gun
5857,SHOPPED,Photoshopped
5858,SHORTY,Girlfriend
5859,SHOTGUN,Front passenger seat
5860,SHOTTA,Thug
5861,SHOULDA,Should have
5862,SHRINK,Psychiatrist
5863,SHU,Secure Housing Unit
5864,SHUBZ,House party
5865,SHUCKS,modesty
5866,SHUG,Sugar
5867,SHUP,Shut Up
5868,SHURUP,Shut Up
5869,SHUSH,Shut up
5870,SHUX,Shucks
5871,SHWE,Should We
5872,SI,Stop It
5873,SIA,Sorry I Asked
5874,SIAP,Sorry If Already Posted
5875,SIAS,Say It Ain't So
5876,SIC,Latin sicut
5877,SICK,Awesome
5878,SICS,Sitting In Chair Snickering
5879,SID,Acid
5880,SIDK,Sorry I Didn't Know
5881,SIDS,Sudden Infant Death Syndrome
5882,SIF,As If
5883,SIFS,Secret Internet Fatties
5884,SIG,Signature
5885,SIGH,Exhale depressedly
5886,SIK,SICK
5887,SIKE,Indicating the previous statement is false
5888,SIKED,Psyched excited about
5889,SIL,Son-In-Law
5890,SIM,Subscriber Identity Module
5891,SIM CARD,Subscriber Identity Module for a mobile phone
5892,SIMMER,Relax
5893,SIO,Bye
5894,SIP,YEP in Spanish
5895,SIS,Sister
5896,SIT,Stay In Touch
5897,SITD,Still In The Dark
5898,SITREP,Situation Report
5899,SITTING DUCK,Vulnerable
5900,SITU,Situation
5901,SIV,Bad goalie in hockey
5902,SIW,Someone Is Watching
5903,SIWOTI,Someone Is Wrong On The Internet
5904,SIZZLE,Drug OC
5905,SJ,Society of Jesus
5906,SJGR,Shit Just Got Real
5907,SK8,Skate
5908,SK8R,Skater
5909,SKANKIN,Form of dancing
5910,SKEED,High
5911,SKEEN,I See
5912,SKENG,Knife
5913,SKETCH,Unusual
5914,SKEWL,School
5915,SKI,Spend Kids' Inheritance
5916,SKI INSTRUCTOR,Cocaine dealer
5917,SKIDADDLE,Go away
5918,SKINNY,Information
5919,SKINT,Broke
5920,SKITTLES,Drugs
5921,SKITZ,Schitzophrenic
5922,SKL,School
5923,SKN,OK cool whatever
5924,SKO,Let's Go
5925,SKOOL,School
5926,SKRILLA,Money
5927,SKU,Stock Keeping Unit
5928,SKUX,A guy who's good with women
5929,SKYPE,Internet telephone
5930,SL,So Lame
5931,SLA,Service Level Agreement
5932,SLAB,Slow Low
5933,SLAN,Goodbye
5934,SLAP,Sounds Like A Plan
5935,SLAPPED,Drunk
5936,SLD,Second Level Domain
5937,SLEW,Cut down
5938,SLF,Sounds Like Fun
5939,SLFN,So Long For Now
5940,SLH,Santa's Little Helper
5941,SLI,Scalable Link Interface
5942,SLICE,Eighth of an ounce of marijuana
5943,SLICK,Sharp
5944,SLM,Salaam
5945,SLOB,Lazy
5946,SLOL,Seriously Laughing Out Loud
5947,SLOSHED,Drunk
5948,SLR,Single Lens Reflex
5949,SLT,Salut
5950,SLUGS,Bullets
5951,SLY,Still Love You
5952,SMACK,Heroin
5953,SMACKED,High on marijuana
5954,SMAD,Sad and mad
5955,SMALLS,Underwear
5956,SMAO,Study My Ass Off
5957,SMDH,Shaking My Damn Head
5958,SMDHE,Some Mothers Do Have Em
5959,SME,Small
5960,SMEG,All purpose swear word
5961,SMEXI,Smart and Sexy
5962,SMEXY,Smart and sexy
5963,SMFT,So Much For That
5964,SMG,Sub-Machine Gun
5965,SMGDH,Shaking My God Damn Head
5966,SMH,Shaking My Head
5967,SMHID,Shaking My Head In Despair
5968,SMHL,Shaking My Head Laughing
5969,SMIB,Southern Maryland Inbred
5970,SMIDSY,Sorry Mate I Didn't See You
5971,SMIZE,Smile with your eyes
5972,SML,Screw My Life
5973,SMN,Shoot Me Now
5974,SMOG,Sweet Mother Of God
5975,SMOOCH,Kiss
5976,SMOOSH,Hug
5977,SMOP,Simple Matter Of Programming
5978,SMS,Short Message Service
5979,SMT,Sucking My Teeth
5980,SMTH,Something
5981,SMTP,Simple Mail Transfer Protocol
5982,SMURF,Experienced gamer posing as a newbie
5983,SN,Screen Name
5984,SN1,Spare No One
5985,SNAFU,Situation Normal All Fouled Up
5986,SNAG,Sensitive New Age Guy
5987,SNAIL MAIL,Regular postal service
5988,SNAKE,Snitch
5989,SNAKE OIL,Fake medicine
5990,SNAKING,Flirting
5991,SNAP,dismay
5992,SNC,Social Network Check
5993,SND,Search And Destroy
5994,SNES,Super Nintendo Entertainment System
5995,SNF,So Not Funny
5996,SNH,Sarcasm Noted Here
5997,SNIDE,Fake or counterfeit
5998,SNIFF,Cocaine
5999,SNIPE,Bid on eBay just before the auction ends
6000,SNITCH,Person who tells on someone
6001,SNK,Video game company
6002,SNM,Say No More
6003,SNOG,Kiss
6004,SNOOKIE,Pet name for BF or GF
6005,SNOUT,Cigarette
6006,SNOW,Cocaine
6007,SNR,Signal To Noise Ratio
6008,SNSD,Sho Nyo Shi Dae 
6009,SNU,What's New
6010,SNYK,So Now You Know
6011,SO SO,Neither good nor bad
6012,SOA,State Of Alert 
6013,SOAD,System Of A Down 
6014,SOAG,Son Of A Gun
6015,SOCKPUPPET,Person using a false identity
6016,SOCOM,Special Operations Command
6017,SOD OFF,Go away
6018,SOE,Sony Online Entertainment
6019,SOF,Soldier Of Fortune 
6020,SOFT,Powdered cocaine
6021,SOG,Sea Of Green
6022,SOH,Sense Of Humor
6023,SOHF,Sense Of Humor Failure
6024,SOI,Statement of Intent
6025,SOIDH,Screenshot Or It Didn't Happen
6026,SOK,That's OK
6027,SOLID,Cool
6028,SOMD,Sh*t On My Dick
6029,SOML,Story Of My Life
6030,SOMSW,Someone Over My Shoulder Watching
6031,SON,Close Friend
6032,SONAR,SOund Navagation And Ranging
6033,SOO,So
6034,SOOC,Straight Out Of Camera 
6035,SOOD,Cool
6036,SOOK,A Person Who Whines Or Is Overly Sensitive
6037,SOOTB,Straight Out Of The Box
6038,SOP,Standard Operating Procedure
6039,SOPA,Stop Online Piracy Act
6040,SORN,Statutory Off Road Notification
6041,SORTA,Sort of
6042,SOS,Save Our Souls
6043,SOTA,State Of The Art
6044,SOTD,Song Of The Day
6045,SOTU,State of the Union
6046,SOUND,Cool
6047,SOUR,Strong WEED
6048,SOW,Female police officer
6049,SOWIE,Sorry
6050,SOWIE,Sorry
6051,SOX,Socks
6052,SOY,Shame On You
6053,SOYW,Something On Your Wall
6054,SOZ,Sorry
6055,SP2,Service Pack 2
6056,SPAG,Spelling Punctuation And Grammar
6057,SPAM,Unsolicted email
6058,SPANNER,Idiot
6059,SPARK,Set light to
6060,SPAT,Fight
6061,SPAZ,Spastic
6062,SPCA,Society for the Prevention of Cruelty to Animals
6063,SPECTRE,Special Executive for Counter-intelligence Terrorism Revenge and Extortion
6064,SPED,Someone who needs special education
6065,SPERG,Dramatically Passionate Or Obsessive About A Subject
6066,SPEXY,Sexy with glasses
6067,SPF,Strictly Platonic Friend
6068,SPG,Special Patrol Group
6069,SPIC,Offensive term for a Hispanic person
6070,SPIM,Instant Messaging SPAM
6071,SPINS,Effect of drinking too much
6072,SPIT GAME,Act of flirting
6073,SPITAL,Hospital
6074,SPLIF,A cigarette of tobacco and cannibis
6075,SPLIFF,SPLIF
6076,SPM,South Park Mexican 
6077,SPN,Supernatural 
6078,SPOC,Single Point of Contact
6079,SPOILER,Something you would've prefered to find out yourself
6080,SPOOF,Tube used to reduce smoking smells
6081,SPOON,Cuddle
6082,SPOT,Lend money
6083,SPOT ON,Absolutely correct
6084,SPQR,Senatus Populusque Romanus
6085,SPROG,Child
6086,SPRUNG,Obsessed with someone
6087,SPST,Same Place Same Time
6088,SPUN,Under the influence of methamphetamine
6089,SPURS,US Basketball team
6090,SQ,Sound Quality
6091,SQL,Structured Query Language
6092,SQTM,Smiling Quietly To Myself
6093,SQUARE,Cigarette
6094,SRH,Supporting Radical Habits
6095,SRM,Stark Raving Mad
6096,SRO,Standing Room Only
6097,SRS,Serious
6098,SRSLY,Seriously
6099,SRT,Street and Racing Technology
6100,SRY,Sorry
6101,SS,Screen Shot
6102,SSA,Subject Says All
6103,SSBB,Super Smash Brothers Brawl
6104,SSBHM,Super Sized BHM
6105,SSC,Safe Sane Consensual
6106,SSD,Solid State Drive
6107,SSDD,Same Stuff Different Day
6108,SSH,Secure Shell
6109,SSID,Service Set Identifier
6110,SSL,Secure Socket Layer
6111,SSTS,Snickering Softly To Self
6112,SSWA,So Say We All
6113,ST,Something
6114,ST00F,Stuff
6115,STA,Surveillance and Target Acquisition
6116,STACK,$1000
6117,STAHP,Stop
6118,STAMP,OK
6119,STAN,Stalker Fan
6120,STANDARD,Of course
6121,STANG,Ford Mustang
6122,STAR,Friend
6123,STAT,Immediately
6124,STATS,Statistics
6125,STB,Soon To Be
6126,STBE,Soon-To-Be Ex
6127,STBX,Soon-To-Be Ex
6128,STBY,Sucks To Be You
6129,STC,Subject to Change
6130,STEAL,Punch
6131,STEAMING,Drunk
6132,STEEZ,Style with ease
6133,STEEZE,Style with ease
6134,STEEZY,Style With Ease
6135,STELLA,Flirty girl
6136,STELLAR,Awesome
6137,STEM,Mix of STUD and FEM
6138,STEP OFF,Leave
6139,STET,Let it stand
6140,STEXT,Sexy text message
6141,STG,Swear To God
6142,STH,Something
6143,STHG,Something
6144,STHU,Shut The Hell Up
6145,STK,Shoot To Kill
6146,STM,Short Term Memory
6147,STMF,Stay Thirsty My Friends
6148,STML,Short Term Memory Loss
6149,STN,Spend The Night
6150,STNY,Same Time Next Year
6151,STOKED,Very happy
6152,STOPE,Awesome
6153,STR,Strength
6154,STR8,Straight
6155,STRAP,Gun
6156,STROP,Sulk
6157,STS,Smirk To Self
6158,STSP,Same Time Same Place
6159,STTN,Sleeping Through the Night
6160,STUNNER,Good looking person
6161,STW,Search The Web
6162,STY,Same To You
6163,STYL,Speak To You Later
6164,SU,Shut Up
6165,SUAD,Shut Up And Drive
6166,SUBS,Subwoofers
6167,SUCKS,Is bad
6168,SUFI,Super Finger
6169,SUGAR DADDY,Rich older man
6170,SUH,Sir
6171,SUIT,Businessman
6172,SUL,See You Later
6173,SULA,Sweaty Upper Lip Alert
6174,SUM,Some
6175,SUM1,Someone
6176,SUMFIN,Something
6177,SUMMAT,Something
6178,SUP,What's Up
6179,SUPER,Very really
6180,SUS,Suspect
6181,SUSS,Discover
6182,SUV,Sport Utility Vehicle
6183,SUX,Sucks
6184,SVP,S'il Vous Plait
6185,SVS,Someone Very Special
6186,SVU,Special Victims Unit
6187,SW,So What
6188,SWAGG ,Style
6189,SWAGGA,Style or personality
6190,SWAGGER,A person's style
6191,SWAK,Sealed With A Kiss
6192,SWALK,Sealed With A Loving Kiss
6193,SWAMBO,She Who Always Must Be Obeyed
6194,SWANK,Cool
6195,SWAT,Special Weapons And Tactics
6196,SWEAT,Like love
6197,SWED,Smoke Weed Every Day
6198,SWEET,Awesome
6199,SWEETIE,Pet name for BF or GF
6200,SWEETY,SWEETIE
6201,SWERVE,Move On
6202,SWEXY,Sweet and sexy
6203,SWF,Single White Female
6204,SWG,Star Wars Galaxies 
6205,SWIDT,See What I Did There
6206,SWIFT,Awesome
6207,SWIM,Someone Who Isn't Me
6208,SWIR,So Wrong It's Right
6209,SWISHER,Cheap cigar used for making BLUNTs
6210,SWIY,Someone Who Isn't You
6211,SWIZ,Con
6212,SWIZZLE,Sweet
6213,SWK,Star Wars Kid
6214,SWM,Single White Male
6215,SWMBO,She Who Must Be Obeyed
6216,SWND ,Sound
6217,SWOG,Uncoolness
6218,SWOL,Well built
6219,SWOLE,Muscular
6220,SWOT,Person who is always studying
6221,SWPF,Single White Professional Female
6222,SWPL,Stuff White People Like
6223,SWPM,Single White Professional Male
6224,SWT,Sweat
6225,SWTOR,Star Wars: The Old Republic 
6226,SWW,Slippery When Wet
6227,SWY,Sowwy
6228,SWYD,Sleep When You're Dead
6229,SWYP,So What's Your Point
6230,SXE,Straightedge
6231,SY,Sincerely Yours
6232,SYA,See You
6233,SYF,Shut Your Face
6234,SYG,Shut Your Gob
6235,SYIH,See You In Hell
6236,SYITM,See You In The Morning
6237,SYK,So You Know
6238,SYL,See You Later
6239,SYLA,See You Later Alligator
6240,SYM,Shut Your Mouth
6241,SYMBIAN,Mobile phone OS
6242,SYNC,Synchronize
6243,SYNT,See You Next Time
6244,SYOTOS,See You On The Other Side
6245,SYRS,See You Real Soon
6246,SYS,See Ya Soon
6247,SYSOP,System Operator
6248,SYT,See You Tomorrow
6249,SYTYCD,So You Think You Can Dance
6250,SYWISY,See You When I See You
6251,S^,What's Up
6252,T-T,Crying
6253,T.T,Crying
6254,T2M,Talk To Me
6255,T2T,Time To Talk
6256,T2UL,Talk To You Later
6257,T2YL,Talk To You Later
6258,T4P,Thanks For Posting
6259,T4T,Tit For Tat
6260,TA,Thank you
6261,TAB,Acid
6262,TABOO,Forbidden
6263,TAC,Cannabis resin
6264,TACKY,In bad taste
6265,TACO,A Mexican Food Dish
6266,TACP,Take A Chill Pill
6267,TAD,Small amount
6268,TADA,Exclamation when something is finished
6269,TAE,Trial And Error
6270,TAF,Tell A Friend
6271,TAFF,Person from Cardiff or Wales generally
6272,TAFN,That's All For Now
6273,TAFW,Time Away From Work
6274,TAG,Personal signature
6275,TAGL,There's a good lad
6276,TAHT,That
6277,TAI,Think About It
6278,TAKS,Texas Assessment of Knowledge and Skills
6279,TAL,Thanks A Lot
6280,TAMW,That Awkward Moment When ...
6281,TANJ,There Ain't No Justice
6282,TANK,Large person
6283,TANSTAAFL,There Ain't No Such Thing as a Free Lunch
6284,TAPPED,Crazy
6285,TAR,Not very pure heroin
6286,TARD,Retarded person
6287,TARDIS,Time And Relative Dimentions In Space
6288,TARFU,Things Are Really Fouled Up
6289,TASTY,Good looking
6290,TAT,Tattoo
6291,TATA,Goodbye
6292,TATO,Alright OK
6293,TATT,Tattoo
6294,TAV,Marijuana
6295,TAW,Teachers Are Watching
6296,TAY,Thinking About You
6297,TAZE,Annoy
6298,TB,Text Back
6299,TBA,To Be Announced
6300,TBBH,To Be Brutally Honest
6301,TBBT,The Big Bang Theory 
6302,TBC,To Be Continued
6303,TBCH,To Be Completely Honest
6304,TBD,To Be Decided
6305,TBE,To be Edited
6306,TBF,To Be Fair
6307,TBFU,Too Bad For You
6308,TBH,To Be Honest
6309,TBM,Tactical Boyfriend Mention
6310,TBMS,To Be More Specific
6311,TBNT,Thanks But No Thanks
6312,TBPH,To Be Perfectly Honest
6313,TBQF,To Be Quite Frank
6314,TBQFH,To Be Quite F***ing Honest
6315,TBQH,To Be Quite Honest
6316,TBR,To Be Real
6317,TBS,Tablespoon
6318,TBSS,Too Bad So Sad
6319,TBT,Truth Be Told
6320,TBTF,Too Big To Fail
6321,TBTG,Thanks Be To God
6322,TBTH,To Be Totally Honest
6323,TBTP,That's Beside The Point
6324,TBU,To Be Updated
6325,TBX,To Be Exact
6326,TBYS,Think Before You Speak
6327,TC,Take Care
6328,TCB,Taking Care of Business
6329,TCBY,The Country's Best Yogurt
6330,TCCIC,Take Care 'Cause I Care
6331,TCFC,Too Close For Comfort
6332,TCFN,Take Care For Now
6333,TCFS,Too Cool For School
6334,TCG,Trading Card Game
6335,TCGB,Take Care God Bless
6336,TCH,disagreement
6337,TCK,Third Culture Kid
6338,TCL,Tool Command Language
6339,TCOB,Taking Care of Buisness
6340,TCOY,Take Care Of Yourself
6341,TCP,Transmission Control Protocol
6342,TCP/IP,Transmission Control Protocol
6343,TCTC,To Close To Call
6344,TD,Touchdown
6345,TDDUP,Til Death Do Us Part
6346,TDDWP,Til Death Do We Part
6347,TDF,To Die For
6348,TDG,Too Damn Good
6349,TDH,Tall Dark and Handsome
6350,TDI,Turbo Direct Injection
6351,TDL,To Do List
6352,TDM,Team DeathMatch
6353,TDOT,Toronto
6354,TDS,Technical Dificulties
6355,TDTF,Too Drunk to Function
6356,TDWP,The Devil Wears Prada 
6357,TDY,Temporarily Deployed for a Year
6358,TE AMO,I love you 
6359,TEAL DEER,TLDR
6360,TEC,Tec 9 handgun
6361,TECH,Technician
6362,TEE,T-shirt
6363,TEEF,Steal
6364,TEEN,Teenager
6365,TEH,The
6366,TEHO,To Each His
6367,TEK,Tek-9 machine pistol
6368,TEKKERS,Technique
6369,TELNET,Network Virtual Terminal Protocol
6370,TEMP,Temporary
6371,TEN,Person with a perfect body
6372,TEOTWAWKI,The End Of The World As We Know It
6373,TEOTWAWKI,The End Of The World As We Know It
6374,TERRIBAD,Terrible and Bad awful
6375,TEVS,Whatever
6376,TEXT,An SMS message sent between cell phones
6377,TF2,Team Fortress 2
6378,TFA,Thanks For Asking
6379,TFC,Team Fortress Classic
6380,TFCD,Time For Compact Disc
6381,TFFW,Too Funny For Words
6382,TFI,Thanks For the Information
6383,TFL,Tip For Life
6384,TFLMK,Thanks For Letting Me Know
6385,TFLMS,Thanks For Letting Me Share
6386,TFLN,Texts From Last Night
6387,TFM,Total Frat Move
6388,TFM2KAU2FO,That's For Me to Know And You To Find Out
6389,TFMTK,That's For Me To Know
6390,TFP,Thanks For Playing
6391,TFRM,Thanks For Reminding Me
6392,TFS,Thanks For Sharing
6393,TFT,The Frozen Throne
6394,TFTA,Thanks For The Add
6395,TFTC,Thanks For The 
6396,TFTD,Thought For The Day
6397,TFTI,Thanks For The Info
6398,TFTL,Thanks for the Link
6399,TG,Thank God
6400,TGAL,Think Globally Act Locally
6401,TGE,the
6402,TGFG,Thank God For Google
6403,TGFI,Thank God For the Internet
6404,TGFL,Thank God For Life
6405,TGFT,Thank God For That
6406,TGI,Thank God It's ...
6407,TGIA,Thank God I'm Alive
6408,TGIAF,Thank God It's Almost Friday
6409,TGIF,Thank God It's Friday
6410,TGIM,Thank God It's Monday
6411,TGIO,Thank God It's Over
6412,TGIT,Thank God It's Thursday
6413,TGOD,Taylor Gang Or Die
6414,TGP,Thumbnail Gallery Post
6415,TGTBT,Too Good To Be True
6416,THA,The
6417,THABTO,Two Heads Are Better Than One
6418,THANG,Thing
6419,THANQ ,Thank You
6420,THANX,Thanks
6421,THAR,There
6422,THC,Tetrahydrocannabinol
6423,THE BOMB,Really cool
6424,THE NICK,Prison
6425,THICK,Well proportioned
6426,THIZZ,Ecstasy
6427,THIZZING,Tripping on Ecstasy
6428,THIZZLE,Esctasy tablet
6429,THN,Then
6430,THNX,Thanks
6431,THO,Though
6432,THOT,HOE
6433,THOU,You
6434,THRASH,Thrash metal
6435,THREAD,Topic On A Message Board
6436,THRU,Through
6437,THT ,That
6438,THTH,To Hot to Handle
6439,THUG,Violent criminal
6440,THUMBNAIL,Small version of a picture
6441,THUMBS DOWN,Sign of disapproval
6442,THUR,There
6443,THURR,There
6444,THWU,To Hell With You
6445,THX,Thanks
6446,TI,Texas Instruments
6447,TI AMO,I Love You
6448,TIA,Thanks In Advance
6449,TIAB,To Infinity And Beyond
6450,TIC,Tongue in Cheek
6451,TID,Take It Down
6452,TIDY,Cool
6453,TIE,Take It Easy
6454,TIEF,Thief
6455,TIEM,time
6456,TIF,That Is Funny
6457,TIFF,Argument
6458,TIFN,That's It For Now
6459,TIGHT,Close
6460,TIIC,The Idiots In Charge
6461,TIL,Until
6462,TILII,Tell It Like It Is
6463,TIM,Time Is Money
6464,TINA,Crystal Meth
6465,TINAG,This Is Not A Game
6466,TINALO,This Is Not A Legal Opinion
6467,TINAR,This Is Not A Recommendation
6468,TING,Thing
6469,TINSTAFL,There Is No Such Thing As Free Lunch
6470,TINWIS,That Is Not What I Said
6471,TIOLI,Take It Or Leave It
6472,TIPSY,Slightly drunk
6473,TIRF,That
6474,TIS,It Is
6475,TISA,That Is So Awesome
6476,TISNF,That is so not fair
6477,TITCH,Small person
6478,TITCR,This Is The Credited Response
6479,TITF,Take It Too Far
6480,TITT,Throw In The Towel
6481,TIX,Tickets
6482,TJA,Hi
6483,TK,Team Killer
6484,TKD,Taekwondo
6485,TKM,Te Quiero Mucho
6486,TKO,Technical Knock Out
6487,TKS,Thanks
6488,TKT,Don't worry
6489,TL,Talk Later
6490,TL;DR,TLDR
6491,TL;DW,TLDW
6492,TLA,Three Letter Acronym
6493,TLC,Tender Loving Care
6494,TLD,Top Level Domain
6495,TLDNR,Too Long; Did Not Read
6496,TLDR,Too Long; Didn't Read
6497,TLDW,Too Long; Didn't Watch
6498,TLGO,The List Goes On
6499,TLI,Too Little Information
6500,TLK,Talk
6501,TLND,True Love Never Dies
6502,TLOL,Truly Laughing Out Loud
6503,TLTR,Too Long To Read
6504,TLYK,To Let You Know
6505,TM,Text Message
6506,TMA,Take My Advice
6507,TMAI,Tell Me About It
6508,TMB,Text Me Back
6509,TMBG,They Might Be Giants 
6510,TMBI,Tell Me about It
6511,TMD,Damn in Chinese
6512,TME,Too Much Effort
6513,TMF,Too Much Forehead
6514,TMH,Touch My Hand
6515,TMI,Too Much Information
6516,TMK,To My Knowledge
6517,TML,Thank Me Later
6518,TMLT,To My Last Tweet
6519,TMM,Tell Me More
6520,TMMS,That Made Me Smile
6521,TMN,Touch Me Not
6522,TMNT,Teenage Mutant Ninja Turtles
6523,TMO,Tomorrow
6524,TMP,Tactical Machine Pistol
6525,TMR,Tomorrow
6526,TMRW,Tomorrow
6527,TMS,Too Much Swag
6528,TMSIDK,Tell Me Something I Don't Know
6529,TMT,Too Much Tuna
6530,TMTC,Too Many To Count
6531,TMTH,Too Much To Handle
6532,TMTOWTDI,There's More Than One Way To Do It
6533,TMTS,Too Much Too Soon
6534,TMTT,Too Much To Text
6535,TMW,Tomorrow
6536,TMY,Tell Me Why
6537,TMZ,Thirty Mile Zone
6538,TNA,Total Nonstop Action
6539,TNB,There's Nothing Better
6540,TNBM,True Norwegian Black Metal
6541,TNF,That's Not Funny
6542,TNG,The Next Generation
6543,TNL,To Next Level
6544,TNLN,Took Nothing Left Nothing
6545,TNO,Trust No One
6546,TNOP,Totally Not Our Problem
6547,TNOT,Take Note Of That
6548,TNSL,Took Nothing Signed Logbook
6549,TNSTAAFL,There's No Such Thing As A Free Lunch
6550,TNT,Til Next Time
6551,TNTM,That's News To Me
6552,TNX,Thanks
6553,TO BOOT,As well also
6554,TOAO,The One And Only
6555,TOASTIE,Toasted sandwich
6556,TOC,Table Of Contents
6557,TOD,Time Of Death
6558,TOEFL,Test Of English as a Foreign Language
6559,TOEIC,Test Of English for International Communication
6560,TOFT,Take One For the Team
6561,TOFTT,Take One For The Team
6562,TOFU,Bean curd
6563,TOH,The Other Half
6564,TOKE,Inhale marijuana smoke
6565,TOKER,Someone who smokes marijuana
6566,TOL,Thinking Out Loud
6567,TOM,Time Of Month
6568,TOMBOUT,Talking About
6569,TOMBOY,Girl who behaves like a boy
6570,TOMO,Tomorrow
6571,TOMOZ,Tomorrow
6572,TON,One hundred
6573,TONG,Asian gangster
6574,TONK,Strong
6575,TOOC,Totally Out Of Control
6576,TOODLE,Goodbye
6577,TOOL,Person of low intelligence
6578,TOON,Online character in RPG
6579,TOOTLES,See you later
6580,TOOTSIES,Toes
6581,TOPPER,Person who always has a better story
6582,TOPS,Wonderful
6583,TOS,Terms Of Service
6584,TOT,Small child
6585,TOTB,Think Outside the Box
6586,TOTD,Tip Of The Day
6587,TOTE,Carry
6588,TOTES,Totally
6589,TOTES PRESH,Totally Precious
6590,TOTEZ,Totally
6591,TOTGA,The One That Got Away
6592,TOTM,Time Of The Month
6593,TOTS,Totally
6594,TOTT,Think on These Things
6595,TOTUS,Teleprompter Of The United States
6596,TOTZ,Totally
6597,TOUCH,Beat
6598,TOUCHE,Said when admitting opponent has made a good point
6599,TOW,The Other Wiki
6600,TOWIE,The Only Way Is Essex
6601,TOY,Thinking Of You
6602,TP,Toilet Paper
6603,TPAM,The Person Above Me
6604,TPB,The Pirate Bay
6605,TPE,Total Power Exchange
6606,TPK,Total Party Kill
6607,TPO,Time Place Occasion
6608,TPS,Totally pointless stuff
6609,TPT,Trailer Park Trash
6610,TPTB,The Powers That Be
6611,TQ,Thank You
6612,TQM,Te Quiero Mucho
6613,TR,Triple Rainbow
6614,TR00,True
6615,TRA,Bye
6616,TRAW,Thick Rich And White
6617,TRDMC,Tears Running Down My Cheeks
6618,TRDMF,Tears Running Down My Face
6619,TREE,Marijuana
6620,TRG,Tiny Rascal Gang
6621,TRICKIN,Spending money on a girl
6622,TRIFE,Trifling
6623,TRILL,True and Real
